metric,value
pair_count,6
chosen_trajectory_length_min,1
chosen_trajectory_length_mean,1
chosen_trajectory_length_max,1
rejected_trajectory_length_min,1
rejected_trajectory_length_mean,1
rejected_trajectory_length_max,1
uplift_min,0.8
uplift_mean,0.9
uplift_max,1.0
uplift_missing_count,0
uplift_zero_count,0
uplift_positive_count,6
uplift_negative_count,0
uplift_zero_ratio,0.0
uplift_positive_ratio,1.0
uplift_negative_ratio,0.0
chosen_rejected_same_count,0
policy_empty_count,0
search_query_rewrite_empty_count,0
