scenario_id,check,passed
temporary_ufc_fatigue,branch_length_consistency,True
temporary_ufc_fatigue,follow_outperforms_at_least_one_counterfactual,True
temporary_ufc_fatigue,branch_schema_rows_present,True
temporary_ufc_fatigue,deterministic_parser_alignment,True
persistent_political_filter,branch_length_consistency,True
persistent_political_filter,follow_outperforms_at_least_one_counterfactual,True
persistent_political_filter,branch_schema_rows_present,True
persistent_political_filter,deterministic_parser_alignment,True
diversity_not_dislike,branch_length_consistency,True
diversity_not_dislike,follow_outperforms_at_least_one_counterfactual,True
diversity_not_dislike,branch_schema_rows_present,True
diversity_not_dislike,deterministic_parser_alignment,True
session_family_dinner,branch_length_consistency,True
session_family_dinner,follow_outperforms_at_least_one_counterfactual,True
session_family_dinner,branch_schema_rows_present,True
session_family_dinner,deterministic_parser_alignment,True
windows_to_mac_drift,branch_length_consistency,True
windows_to_mac_drift,follow_outperforms_at_least_one_counterfactual,True
windows_to_mac_drift,branch_schema_rows_present,True
windows_to_mac_drift,deterministic_parser_alignment,True
ufc_behavioral_rollback,branch_length_consistency,True
ufc_behavioral_rollback,follow_outperforms_at_least_one_counterfactual,True
ufc_behavioral_rollback,branch_schema_rows_present,True
ufc_behavioral_rollback,deterministic_parser_alignment,True
